id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
39361900,Habitación para visitantes o estudiantes,11739061,Eduardo,,Xochimilco,19.266379999999998,-99.1324,Private room,490,3,0,,,1,179
39367091,"Recamaras amplias y tranquilas, precio x persona!",302386441,Verónica,,Xochimilco,19.26545,-99.13729000000001,Private room,547,1,1,2020-01-02,0.19,1,180
39610629,Recámara para 1 o 2 personas. Amp. Tepepan.,293230163,Blanca R.,,Xochimilco,19.2683,-99.14307,Private room,201,2,5,2020-01-31,0.7,2,180
39743478,CHARLIE'S HOME,212455707,Carlos Daniel,,Xochimilco,19.26556,-99.13172,Private room,267,1,4,2020-02-23,0.64,1,176
39915849,Habitación privada ideal para estudiar y descansar,11928644,Omar  Josué,,Xochimilco,19.27735,-99.14143,Private room,201,7,0,,,2,364
40060181,AMPLIA HABITACIÓN AL SUR DE LA CIUDAD,308996553,Rebeca,,Xochimilco,19.32001,-99.09926,Private room,245,1,9,2020-01-28,1.48,1,161
40122872,Xochimilco rooms!! Enjoy estadio Azteca too :),77784002,Khris,,Xochimilco,19.27776,-99.13819000000001,Private room,700,1,4,2020-03-01,0.75,4,365
40226207,"Private room &bath ZONA DE HOSPITALES, UNIVERSIDAD",77784002,Khris,,Xochimilco,19.27796,-99.13811,Private room,357,1,2,2020-02-29,0.48,4,365
40288194,Tu hogar en México - Your home in Mexico City,287118108,Marie Anne,,Xochimilco,19.27991,-99.13699,Private room,295,3,1,2020-02-07,0.28,2,0
40329012,Periférico Sur Private Room. Univ Tec d Monterrey,77784002,Khris,,Xochimilco,19.28003,-99.13759,Private room,357,1,2,2020-03-21,0.62,4,365
40707928,Mini-suite a tu medida - Mini-suite made for you,287118108,Marie Anne,,Xochimilco,19.27751,-99.13755,Private room,341,3,0,,,2,0
40900768,HABITACIÓN INDEPENDIENTE CON BAÑO COMPLETO,318608487,Gerardo,,Xochimilco,19.241789999999998,-99.09832,Private room,290,2,0,,,2,180
41265405,Cuartos en el sur de la Ciudad de México,324031465,Gibran,,Xochimilco,19.26166,-99.11909,Private room,201,90,0,,,1,364
41295202,La casa de la abuela Bety,324269059,Beatriz,,Xochimilco,19.23726,-99.1029,Private room,357,1,0,,,1,179
41645975,"Departamentos nuevos top, con alberca climatizada",212104868,Marco,,Xochimilco,19.207829999999998,-99.12268,Entire home/apt,2908,1,0,,,8,0
